,id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
85,3108107,2010,42287441,1804334,40483108,7325948,2787378,14731517,15638264
86,3108206,2010,89842996,338683,86456167,39250685,7704264,24500348,1500087
87,3108255,2010,33978062,1108208,32869854,3486946,1152164,7719249,20511495
88,3108305,2010,160878253,13337149,147541104,10605906,37052869,63796214,36086114
89,3108404,2010,118635434,6863463,11177197,26255132,8877464,4500282,31636555
90,3108503,2010,32339168,969644,31369524,9917389,1069151,6447974,13935011
91,3108552,2010,102189149,7047911,95141238,16870389,8331324,38879553,31059972
92,3108602,2010,159395681,8444861,15095082,10857669,10189741,61279251,68624159
93,3108701,2010,19658134,66538,18992753,2276506,668599,5226466,10821183
94,3108800,2010,70862874,1024668,69838205,3311595,4551448,7346411,13665719
95,3108909,2010,106645985,8704501,97941484,18703728,12992714,36450597,29794445
96,3109006,2010,133518009,88741567,1246438523,15511552,78770153,332981768,110243672
97,3109105,2010,7851176,3838727,74673033,17415389,4966131,29534222,2275729
98,3109204,2010,63642342,3238142,604042,12295823,4743818,20662624,22701934
99,3109253,2010,17386703,49562,16891082,3234456,735377,3935145,8986105
100,3109303,2010,336348558,23853179,312495379,114565365,29666831,113752694,54510489
101,3109402,2010,270278577,19535591,250742986,113500312,12866029,62180248,62196396
102,3109451,2010,111086948,2468296,108618652,30073075,43600091,15695631,19249854
103,3109501,2010,133285704,583836,127447344,47930991,6858194,42275465,30382695
104,3109600,2010,31706357,2077636,29628722,1258593,8889806,9716332,976399
105,3109709,2010,12294711,12768846,110178265,22920395,31645679,31760835,23851356
106,3109808,2010,42321099,1117492,41203607,1153379,3378598,10667012,15624207
107,3109907,2010,148501977,12225773,136276204,18232529,47632701,48351943,2205903
108,3110004,2010,317354348,25469488,29188486,16004047,44631975,143490679,87758159
109,3110103,2010,38519633,3192766,35326867,7471805,14501,14348418,12056545
110,3110202,2010,30965055,2303475,2866158,4503803,770426,6729172,9724345
111,3110301,2010,128849374,9491654,11935772,2429539,18247842,48953592,27860896
112,3110400,2010,21713386,487238,21226148,6551024,1049607,5137637,8487879
113,3110509,2010,354581075,33559209,321021866,41178027,108526962,121809504,49507372
114,3110608,2010,471269619,73328738,397940881,11235603,138267269,189515691,58922317
115,3110707,2010,133037491,443844,128599051,50967045,7236624,42698353,27697029
116,3110806,2010,28411225,188403,26527195,3686862,1388556,11401363,10050414
117,3110905,2010,164583091,12646366,151936726,2193504,21600021,73391464,35010201
118,3111002,2010,204026276,13245169,190781108,59859438,15869422,75694051,39358197
119,3111101,2010,283776166,23630864,260145302,65048201,51243292,99220038,44633771
120,3111150,2010,19094234,75545,18338783,3695419,803574,4446802,9392988
121,3111200,2010,524701386,41344281,483357105,4504799,87389101,245556556,105363458
